,model,drug_response,genes,mse,mse_std,mse_stderror,pearson,pearson_std,pearson_stderror,pval_mean
0,baseline_nn,IC50,PaccMann genes,37.83705298385974,13.317292101084448,5.955674082849165,0.6939652073300853,0.04046589533426981,0.018096898547563772,0.003532910480865119
1,baseline_nn,IC50,no RNAseq,15.394007433668065,2.9480231054036476,1.3183960125845167,0.8772873455078317,0.0019850561060099463,0.0008877440784378537,3.837127173266729e-10
2,baseline_nn,IC50_zscore,PaccMann genes,4.587506338649374,1.553523544492498,0.6947568500263288,0.006503556787779169,0.0024717357044078936,0.0011053938114938752,0.35735102343029485
3,baseline_nn,IC50_zscore,no RNAseq,1.0147372171748312,0.02665904282902466,0.011922286396155488,-0.014515921878463444,0.011183186729197566,0.005001273146311858,0.28383477977412336
4,deepCDR,IC50,DeepCDR genes,2.0426596054473523,0.1061052980739099,0.047451731853228006,0.8820401290643568,0.004068251766165479,0.001819377499745918,4.635976615997251e-10
5,deepCDR,IC50,no RNAseq,2.1448915856948694,0.1276807830948564,0.05710058208410097,0.8797461255929958,0.005238323337577286,0.002342649414189278,2.70610592667588e-10
6,deepCDR,IC50_zscore,DeepCDR genes,0.9467696610194809,0.034696380195006246,0.015516692937842275,0.15242158760596156,0.04265831478176806,0.0190773783315235,0.19784289241422998
7,deepCDR,IC50_zscore,no RNAseq,1.0300348958288765,0.04225074248038483,0.01889510645719571,-0.009048032261647044,0.0,0.0,0.545371623840139
8,knn,IC50,PaccMann genes,3.697024605749815,0.042615247781594943,0.01905811818352868,0.7887948120887192,0.005084169373717396,0.002273709665750926,2.567994929547165e-09
9,knn,IC50,no RNAseq,3.687374626046605,0.20933446160413316,0.09361721723603228,0.7855723847788928,0.00947769677469789,0.004238554851670998,1.5770481903168745e-08
10,knn,IC50_zscore,PaccMann genes,1.9841431871109365,0.022646548505094937,0.010127844382627704,0.007339563562770758,0.013076228109234391,0.005847866988308329,0.2719243141426797
11,knn,IC50_zscore,no RNAseq,1.9279740787743733,0.07183230635060858,0.032124383996110124,-0.0028236980742080003,0.0016902293184325157,0.0007558935307156486,0.49297085327488555
12,lin_reg_feat_sel,IC50,PaccMann genes,2.289939309082195,0.056962961249460944,0.025474610710696205,0.8549735462419624,0.0034322125895301083,0.001534932132683981,3.515637643774319e-09
13,lin_reg_feat_sel,IC50,genes selected per drug,1.4628949133971247,0.028728498307980254,0.012847775021626307,0.9061317624420643,0.0011162952962974514,0.0004992224330968741,6.369365753263057e-12
14,lin_reg_feat_sel,IC50_zscore,PaccMann genes,1.2619696932718079,0.03210941774239436,0.014359768157986324,0.2241057381981676,0.011930935236629314,0.005335676444850137,0.09197576378667627
15,lin_reg_feat_sel,IC50_zscore,genes selected per drug,0.8036219855544978,0.013983774393700323,0.006253734025266966,0.37144155693969716,0.0008259778977159134,0.00036938854544103013,0.014356326759745805
16,mean_baseline,IC50,no RNAseq,1.8855764456440198,0.036097061683506064,0.01614309674246451,0.8873534372795756,0.0016450112543868192,0.0007356713977122253,2.3201816294704648e-11
17,mean_baseline,IC50_zscore,no RNAseq,1.011097239577674,0.023601966525069247,0.010555120310545866,-0.07444273001086553,0.008765606837949661,0.003920098550738485,0.18129446621120424
18,paccmann,IC50,PaccMann genes,85.24361984665305,20.69238476719479,9.25391579120574,0.8126121457150196,0.008710891727273894,0.003895629209364997,3.4238415620190735e-10
19,paccmann,IC50,no RNAseq,34.08683847659918,13.301741176066113,5.948719497758365,0.8707238812465895,0.0013103259940567189,0.0005859955990791618,3.0001058245144294e-10
20,paccmann,IC50_zscore,PaccMann genes,43.48767783605875,39.3702912473323,17.6069295046,0.002165167737470459,0.011384013056877714,0.00509108541038475,0.39790014982813027
21,paccmann,IC50_zscore,no RNAseq,1.067828686919603,0.04747463437402819,0.02123130193345504,-0.006893747191868949,0.006470410282320372,0.0028936554467163915,0.4325091880033615
22,paccmann_ndcg,IC50_max_conc,PaccMann genes,4446.5995344208795,967.9057655962936,432.8606175374579,0.5405882409223043,0.014715199274324003,0.006580837175968809,0.00010423524019472044
23,paccmann_ndcg,IC50_max_conc,no RNAseq,17702.51669049773,1424.3529141217384,636.9899879852254,0.7025330956383686,0.0032772411840744898,0.001465626813250492,0.00020588885924283454
24,paccmann_ndcg,IC50_zscore,PaccMann genes,3378.4340962834453,3021.3542713201928,1351.1907069562587,-0.013241380144347163,0.013685224284742902,0.006120218357603213,0.2775401660913695
25,paccmann_ndcg,IC50_zscore,no RNAseq,1074.2181641712718,606.9358586516622,271.4299675854641,-0.013514401410866385,0.012356184247105561,0.005525853583808018,0.22878579270858998
