,model,drug_response,genes,k,prec,prec_std,prec_stderror,ndcg,ndcg_std,ndcg_stderror,mode
0,baseline_nn,AUC,no RNAseq,1,0.0,0.0,0.0,0.9080733286301141,0.0,0.0,gdsc_pan
1,baseline_nn,AUC,no RNAseq,1,1.0,0.0,0.0,0.9718558409577825,0.015393243329682622,0.004867770949899128,solo_pan
2,baseline_nn,AUC,no RNAseq,3,0.7054263565891472,0.0,0.0,0.9519109999336731,0.0,0.0,gdsc_pan
3,baseline_nn,AUC,no RNAseq,3,0.8416666666666666,0.12698425099200297,0.04015594601052253,0.9747613121443509,0.012337199964638303,0.0039013651837205825,solo_pan
4,baseline_nn,AUC,no RNAseq,5,0.8325581395348834,0.0,0.0,0.9492219392944687,0.0,0.0,gdsc_pan
5,baseline_nn,AUC,no RNAseq,5,0.8790000000000001,0.041821047332652926,0.013224976370489272,0.9758912333225659,0.009690775132868264,0.003064492171238457,solo_pan
6,baseline_nn,AUC,no RNAseq,10,0.8627906976744188,0.0,0.0,0.979402381473156,0.0,0.0,gdsc_pan
7,baseline_nn,AUC,no RNAseq,10,0.8664999999999999,0.03715171597651984,0.011748404146946934,0.9896247877167419,0.003517251059862765,0.0011122524451807575,solo_pan
8,baseline_nn,AUC,no RNAseq,15,0.9317829457364338,0.0,0.0,0.9822164453894898,0.0,0.0,gdsc_pan
9,baseline_nn,AUC,no RNAseq,15,0.9316666666666666,0.004999999999999982,0.0015811388300841838,0.9922983167148722,0.0029305161554842754,0.0009267105771250449,solo_pan
10,baseline_nn,AUC,paccmann genes,1,0.0,0.0,0.0,0.867947258000255,0.0,0.0,gdsc_pan
11,baseline_nn,AUC,paccmann genes,1,1.0,0.0,0.0,0.9037845607672018,0.051990225046525486,0.016440752721175407,solo_pan
12,baseline_nn,AUC,paccmann genes,3,0.39534883720930225,0.0,0.0,0.8988070596524692,0.0,0.0,gdsc_pan
13,baseline_nn,AUC,paccmann genes,3,0.7349999999999999,0.09587318012179769,0.030317761570845994,0.9275505607522812,0.03270196241939028,0.010341268520250376,solo_pan
14,baseline_nn,AUC,paccmann genes,5,0.5441860465116279,0.0,0.0,0.9108352224503237,0.0,0.0,gdsc_pan
15,baseline_nn,AUC,paccmann genes,5,0.755,0.07228416147400482,0.022858258901324927,0.9391855720611841,0.0238934713804738,0.007555779077034482,solo_pan
16,baseline_nn,AUC,paccmann genes,10,0.7813953488372092,0.0,0.0,0.9133358076674807,0.0,0.0,gdsc_pan
17,baseline_nn,AUC,paccmann genes,10,0.8075000000000001,0.027499999999999962,0.00869626356546303,0.9681537400292625,0.015358682097513166,0.004856841728659391,solo_pan
18,baseline_nn,AUC,paccmann genes,15,0.9317829457364338,0.0,0.0,0.9637026019532601,0.0,0.0,gdsc_pan
19,baseline_nn,AUC,paccmann genes,15,0.9316666666666666,0.004999999999999982,0.0015811388300841838,0.9786665440065097,0.009246390677518408,0.0029239654676705626,solo_pan
20,baseline_nn,AUC_zscore,no RNAseq,1,0.18604651162790697,0.0,0.0,-0.09171854413615287,0.0,0.0,gdsc_pan
21,baseline_nn,AUC_zscore,no RNAseq,1,0.0,0.0,0.0,-0.3819548932160526,1.0510167791398468,0.3323606881136061,solo_pan
22,baseline_nn,AUC_zscore,no RNAseq,3,0.22480620155038764,0.0,0.0,-0.10277054552399635,0.0,0.0,gdsc_pan
23,baseline_nn,AUC_zscore,no RNAseq,3,0.05333333333333333,0.04642796092394707,0.014681810363696828,-0.33188375582454704,1.4094856868674766,0.4457185099908105,solo_pan
24,baseline_nn,AUC_zscore,no RNAseq,5,0.37209302325581395,0.0,0.0,-0.4798494894438967,0.0,0.0,gdsc_pan
25,baseline_nn,AUC_zscore,no RNAseq,5,0.199,0.047212286536451514,0.014929835899968897,-1.0943192682064322,1.4048717774317323,0.44425946371734104,solo_pan
26,baseline_nn,AUC_zscore,no RNAseq,10,0.7209302325581395,0.0,0.0,1.3313041992579153,0.0,0.0,gdsc_pan
27,baseline_nn,AUC_zscore,no RNAseq,10,0.6485,0.02156965461012298,0.006820923691113979,1.3192099061191482,3.6360064544959334,1.1498061983280525,solo_pan
28,baseline_nn,AUC_zscore,no RNAseq,15,0.9317829457364338,0.0,0.0,-0.20790146845102053,0.0,0.0,gdsc_pan
29,baseline_nn,AUC_zscore,no RNAseq,15,0.9316666666666666,0.004999999999999982,0.0015811388300841838,-0.5149087944113155,4.331668794677845,1.369793946065824,solo_pan
30,baseline_nn,AUC_zscore,paccmann genes,1,0.09302325581395349,0.0,0.0,-0.4099163134295363,0.0,0.0,gdsc_pan
31,baseline_nn,AUC_zscore,paccmann genes,1,0.06999999999999999,0.10770329614269009,0.0340587727318528,-0.15379711683987268,0.7185236333279188,0.22721712339758934,solo_pan
32,baseline_nn,AUC_zscore,paccmann genes,3,0.2170542635658915,0.0,0.0,-0.07689309898765476,0.0,0.0,gdsc_pan
